id,Story,StoryText,user,fun,goal,nonfun
6532,story 6532,"As a end user, I want to be able to edit events in the planner, so that I can make updates to the name, location and time of all my events.",end user, be able to edit , make updates to the ,NULL
6533,story 6533,"As a user, I want to be able to modify events in the planner, so that I can make updates to the name, location and time of all my events.",user, be able to modify , make updates to the ,NULL
6534,story 6534,"As a user, I want to be able to update events in the planner, so that I can make updates to the name, location and time of all my events.",user, be able to update , make updates to the ,NULL
6535,story 6535,"As a customer, I want to be able to delete events from my planner, so that I can free up the time for other things.",customer, be able to delete , free up the time ,NULL
6536,story 6536,"As a client, I want to be able to delete events from my planner, so that I can free up the time for other things.",client, be able to delete , free up the time ,NULL
6537,story 6537,"As a end user, I want to be able to delete events from my planner, so that I can free up the time for other things.",end user, be able to delete , free up the time ,NULL
6538,story 6538,"As a customer, I want to be able to convert between units, so that I can understand the varying units in different countries.",customer, be able to convert , understand the varying units ,NULL
6539,story 6539,"As a client, I want to be able to convert between units, so that I can understand the varying units in different countries.",client, be able to convert , understand the varying units ,NULL
6540,story 6540,"As a end user, I want to be able to convert between units, so that I can understand the varying units in different countries.",end user, be able to convert , understand the varying units ,NULL
6541,story 6541,"As a customer, I want to be able to view the weather for the city I am in, so that I can dress accordingly.",customer, be able to view , dress ,NULL
6542,story 6542,"As a client, I want to be able to view the weather for the city I am in, so that I can dress accordingly.",client, be able to view , dress ,NULL
6543,story 6543,"As a end user, I want to be able to view the weather for the city I am in, so that I can dress accordingly.",end user, be able to view , dress ,NULL
6544,story 6544,"As a customer, I want to see all the tools I have access to, so that I can easily find which one I want to use.",customer, see all the tools , easily find which one ,easily
6545,story 6545,"As a client, I want to see all the tools I have access to, so that I can easily find which one I want to use.",client, see all the tools , easily find which one ,easily
6546,story 6546,"As a end user, I want to see all the tools I have access to, so that I can easily find which one I want to use.",end user, see all the tools , easily find which one ,easily
6547,story 6547,"As a customer, I want to be able to translate popular words and phrases from my native language to the language of the city, so that I can communicate more effectively.",customer, be able to translate , communicate more effectively.,effectively
6548,story 6548,"As a client, I want to be able to translate popular words and phrases from my native language to the language of the city, so that I can communicate more effectively.",client, be able to translate , communicate more effectively.,effectively
6549,story 6549,"As a end user, I want to be able to translate popular words and phrases from my native language to the language of the city, so that I can communicate more effectively.",end user, be able to translate , communicate more effectively.,effectively
6550,story 6550,"As a customer, I want to be able to view the time for both my hometown and the city I am in, so that I can compare the times.",customer, be able to view , compare the times.,NULL
6551,story 6551,"As a client, I want to be able to view the time for both my hometown and the city I am in, so that I can compare the times.",client, be able to view , compare the times.,NULL
6552,story 6552,"As a end user, I want to be able to view the time for both my hometown and the city I am in, so that I can compare the times.",end user, be able to view , compare the times.,NULL
6553,story 6553,"As a customer, I want to sign up to create a Sunflower account, so that my progress and information can be saved.",customer, sign up to create , my progress and information ,NULL
6554,story 6554,"As a client, I want to sign up to create a Sunflower account, so that my progress and information can be saved.",client, sign up to create , my progress and information ,NULL
6555,story 6555,"As a end user, I want to sign up to create a Sunflower account, so that my progress and information can be saved.",end user, sign up to create , my progress and information ,NULL
6556,story 6556,"As a customer, I want to log in to my Sunflower account, so I can access the application’s features.",customer, log in to my , I can access the ,NULL
6557,story 6557,"As a client, I want to log in to my Sunflower account, so I can access the application’s features.",client, log in to my , I can access the ,NULL
6558,story 6558,"As a end user, I want to log in to my Sunflower account, so I can access the application’s features.",end user, log in to my , I can access the ,NULL
6559,story 6559,"As a customer, I want to log in to my Sunflower account via my Google account, so I can access the application’s features.",customer, log in to my , I can access the ,NULL
6560,story 6560,"As a client, I want to log in to my Sunflower account via my Google account, so I can access the application’s features.",client, log in to my , I can access the ,NULL
6561,story 6561,"As a end user, I want to log in to my Sunflower account via my Google account, so I can access the application’s features.",end user, log in to my , I can access the ,NULL
6562,story 6562,"As a customer, I want to log out of my Sunflower account, so that my account and personal information is secure.",customer, log out of my , my account and personal ,NULL
6563,story 6563,"As a client, I want to log out of my Sunflower account, so that my account and personal information is secure.",client, log out of my , my account and personal ,NULL
6564,story 6564,"As a end user, I want to log out of my Sunflower account, so that my account and personal information is secure.",end user, log out of my , my account and personal ,NULL
6565,story 6565,"As a customer, I want to recover my password, so that I can log into my Sunflower account.",customer, recover my password, log into my Sunflower ,NULL
6566,story 6566,"As a client, I want to recover my password, so that I can log into my Sunflower account.",client, recover my password, log into my Sunflower ,NULL
6567,story 6567,"As a end user, I want to recover my password, so that I can log into my Sunflower account.",end user, recover my password, log into my Sunflower ,NULL
6568,story 6568,"As a customer, I want to send a friend request, so I can connect with other users.",customer, send a friend request, I can connect with ,NULL
6569,story 6569,"As a client, I want to send a friend request, so I can connect with other users.",client, send a friend request, I can connect with ,NULL
6570,story 6570,"As a end user, I want to send a friend request, so I can connect with other users.",end user, send a friend request, I can connect with ,NULL
6571,story 6571,"As a customer, I want to accept a friend request, so we have mutual access to each other's sunflower count.",customer, accept a friend request, we have mutual access ,NULL
6572,story 6572,"As a client, I want to accept a friend request, so we have mutual access to each other's sunflower count.",client, accept a friend request, we have mutual access ,NULL
6573,story 6573,"As a end user, I want to accept a friend request, so we have mutual access to each other's sunflower count.",end user, accept a friend request, we have mutual access ,NULL
6574,story 6574,"As a customer, I want to reject a friend request, so we do not have mutual access to each other’s sunflower count.",customer, reject a friend request, we do not have ,NULL
6575,story 6575,"As a client, I want to reject a friend request, so we do not have mutual access to each other’s sunflower count.",client, reject a friend request, we do not have ,NULL
6576,story 6576,"As a end user, I want to reject a friend request, so we do not have mutual access to each other’s sunflower count.",end user, reject a friend request, we do not have ,NULL
6577,story 6577,"As a customer, I want to remove a friend, so we no longer have mutual access to each other’s sunflower count.",customer, remove a friend, we no longer have ,NULL
6578,story 6578,"As a client, I want to remove a friend, so we no longer have mutual access to each other’s sunflower count.",client, remove a friend, we no longer have ,NULL
6579,story 6579,"As a end user, I want to remove a friend, so we no longer have mutual access to each other’s sunflower count.",end user, remove a friend, we no longer have ,NULL
6580,story 6580,"As a customer, I want to react to another user’s sunflower count, so I can show my praise.",customer, react to another user’s , I can show my ,NULL
6581,story 6581,"As a client, I want to react to another user’s sunflower count, so I can show my praise.",client, react to another user’s , I can show my ,NULL
6582,story 6582,"As a end user, I want to react to another user’s sunflower count, so I can show my praise.",end user, react to another user’s , I can show my ,NULL
6583,story 6583,"As a customer, I want to unreact to another user’s sunflower count, so I can remove my praise.",customer, unreact to another user’s , I can remove my ,NULL
6584,story 6584,"As a client, I want to unreact to another user’s sunflower count, so I can remove my praise.",client, unreact to another user’s , I can remove my ,NULL
6585,story 6585,"As a end user, I want to unreact to another user’s sunflower count, so I can remove my praise.",end user, unreact to another user’s , I can remove my ,NULL
6586,story 6586,"As a customer, I want to view the leaderboard, so I can see my sunflower count and how it compares to my friends’.",customer, view the leaderboard, I can see my ,NULL
6587,story 6587,"As a client, I want to view the leaderboard, so I can see my sunflower count and how it compares to my friends’.",client, view the leaderboard, I can see my ,NULL
6588,story 6588,"As a end user, I want to view the leaderboard, so I can see my sunflower count and how it compares to my friends’.",end user, view the leaderboard, I can see my ,NULL
6589,story 6589,"As a customer, I want to view my profile, so I can see my account details.",customer, view my profile, I can see my ,NULL
6590,story 6590,"As a client, I want to view my profile, so I can see my account details.",client, view my profile, I can see my ,NULL
6591,story 6591,"As a end user, I want to view my profile, so I can see my account details.",end user, view my profile, I can see my ,NULL
6592,story 6592,"As a customer, I want to view my session history, so I can see how long I studied for during the past days.",customer, view my session history, I can see how ,NULL
6593,story 6593,"As a client, I want to view my session history, so I can see how long I studied for during the past days.",client, view my session history, I can see how ,NULL
6594,story 6594,"As a end user, I want to view my session history, so I can see how long I studied for during the past days.",end user, view my session history, I can see how ,NULL
6595,story 6595,"As a customer, I want to view notifications of friend requests from other users, so I can decide to accept or reject them.",customer, view notifications of friend , I can decide to ,NULL
6596,story 6596,"As a client, I want to view notifications of friend requests from other users, so I can decide to accept or reject them.",client, view notifications of friend , I can decide to ,NULL
6597,story 6597,"As a end user, I want to view notifications of friend requests from other users, so I can decide to accept or reject them.",end user, view notifications of friend , I can decide to ,NULL
6598,story 6598,"As a customer, I want to add a website to my AllowList, so I can interact with the website during a study session in AllowList mode.",customer, add a website to , I can interact with ,NULL
6599,story 6599,"As a client, I want to add a website to my AllowList, so I can interact with the website during a study session in AllowList mode.",client, add a website to , I can interact with ,NULL
6600,story 6600,"As a end user, I want to add a website to my AllowList, so I can interact with the website during a study session in AllowList mode.",end user, add a website to , I can interact with ,NULL
6601,story 6601,"As a customer, I want to add a website to my BlockList, so I cannot interact with the website during a study session in BlockList mode.",customer, add a website to , I cannot interact with ,NULL
6602,story 6602,"As a client, I want to add a website to my BlockList, so I cannot interact with the website during a study session in BlockList mode.",client, add a website to , I cannot interact with ,NULL
6603,story 6603,"As a end user, I want to add a website to my BlockList, so I cannot interact with the website during a study session in BlockList mode.",end user, add a website to , I cannot interact with ,NULL
6604,story 6604,"As a customer, I want to be able to time the study session, so that I can decide how long I want to study for the session.",customer, be able to time , decide how long I ,NULL
6605,story 6605,"As a client, I want to be able to time the study session, so that I can decide how long I want to study for the session.",client, be able to time , decide how long I ,NULL
6606,story 6606,"As a end user, I want to be able to time the study session, so that I can decide how long I want to study for the session.",end user, be able to time , decide how long I ,NULL
6607,story 6607,"As a customer, I want to be able to start the study session, so that I have distracting websites blocked while I am studying and earn sunflowers.",customer, be able to start , I have distracting websites ,NULL
6608,story 6608,"As a client, I want to be able to start the study session, so that I have distracting websites blocked while I am studying and earn sunflowers.",client, be able to start , I have distracting websites ,NULL
6609,story 6609,"As a end user, I want to be able to start the study session, so that I have distracting websites blocked while I am studying and earn sunflowers.",end user, be able to start , I have distracting websites ,NULL
6610,story 6610,"As a customer, I want to be able to end the study session, so that distracting websites will no longer be blocked.",customer, be able to end , distracting websites will no ,NULL
6611,story 6611,"As a client, I want to be able to end the study session, so that distracting websites will no longer be blocked.",client, be able to end , distracting websites will no ,NULL
6612,story 6612,"As a end user, I want to be able to end the study session, so that distracting websites will no longer be blocked.",end user, be able to end , distracting websites will no ,NULL
6613,story 6613,"As a customer, I want to be able to pause my study session, so I can take a study break.",customer, be able to pause , I can take a ,NULL
6614,story 6614,"As a client, I want to be able to pause my study session, so I can take a study break.",client, be able to pause , I can take a ,NULL
6615,story 6615,"As a end user, I want to be able to pause my study session, so I can take a study break.",end user, be able to pause , I can take a ,NULL
6616,story 6616,"As a customer, I want to be able to resume my study session after pausing it, so I can continue my study session.",customer, be able to resume , I can continue my ,NULL
6617,story 6617,"As a client, I want to be able to resume my study session after pausing it, so I can continue my study session.",client, be able to resume , I can continue my ,NULL
6618,story 6618,"As a end user, I want to be able to resume my study session after pausing it, so I can continue my study session.",end user, be able to resume , I can continue my ,NULL
6619,story 6619,"As an individual customer, I want to have an account, so that my session is remembered and my information is saved.",individual customer, have an account, my session is remembered ,NULL
6620,story 6620,"As an individual client, I want to have an account, so that my session is remembered and my information is saved.",individual client, have an account, my session is remembered ,NULL
6621,story 6621,"As an individual end user, I want to have an account, so that my session is remembered and my information is saved.",individual end user, have an account, my session is remembered ,NULL
6622,story 6622,"As an organization customer, I want to have an account, so that my session is remembered and the organization's information is saved.",organization customer, have an account, my session is remembered ,NULL
6623,story 6623,"As an organization client, I want to have an account, so that my session is remembered and the organization's information is saved.",organization client, have an account, my session is remembered ,NULL
6624,story 6624,"As an organization end user, I want to have an account, so that my session is remembered and the organization's information is saved.",organization end user, have an account, my session is remembered ,NULL
6625,story 6625,"As an individual customer, I want to be able to log in with my Google/Facebook associated account, so that I can use the application.",individual customer, be able to log , use the application.,NULL
6626,story 6626,"As an individual client, I want to be able to log in with my Google/Facebook associated account, so that I can use the application.",individual client, be able to log , use the application.,NULL
6627,story 6627,"As an individual end user, I want to be able to log in with my Google/Facebook associated account, so that I can use the application.",individual end user, be able to log , use the application.,NULL
6628,story 6628,"As an organization customer, I want to be able to log in with my Google/Facebook associated account, so that I can use the application.",organization customer, be able to log , use the application.,NULL
6629,story 6629,"As an organization client, I want to be able to log in with my Google/Facebook associated account, so that I can use the application.",organization client, be able to log , use the application.,NULL
6630,story 6630,"As an organization end user, I want to be able to log in with my Google/Facebook associated account, so that I can use the application.",organization end user, be able to log , use the application.,NULL
6631,story 6631,"As an individual customer, I want to continuAs a guest, so that I can use the application.",individual customer, continuAs a guest, use the application.,NULL
6632,story 6632,"As an individual client, I want to continuAs a guest, so that I can use the application.",individual client, continuAs a guest, use the application.,NULL
6633,story 6633,"As an individual end user, I want to continuAs a guest, so that I can use the application.",individual end user, continuAs a guest, use the application.,NULL
6634,story 6634,"As an organization customer, I want to be able to log out of my account, so that I can keep the organization's information secured.",organization customer, be able to log , keep the organization's information ,NULL
6635,story 6635,"As an organization client, I want to be able to log out of my account, so that I can keep the organization's information secured.",organization client, be able to log , keep the organization's information ,NULL
6636,story 6636,"As an organization end user, I want to be able to log out of my account, so that I can keep the organization's information secured.",organization end user, be able to log , keep the organization's information ,NULL
6637,story 6637,"As an individual customer, I want to be able to log out of my account, so that I can keep my information secured.",individual customer, be able to log , keep my information secured.,NULL
6638,story 6638,"As an individual client, I want to be able to log out of my account, so that I can keep my information secured.",individual client, be able to log , keep my information secured.,NULL
6639,story 6639,"As an individual end user, I want to be able to log out of my account, so that I can keep my information secured.",individual end user, be able to log , keep my information secured.,NULL
6640,story 6640,"As an individual customer, I want to be able to create my personal profile, so that I can personalize the application to the organizations and events I'm interested in.",individual customer, be able to create , personalize the application to ,NULL
6641,story 6641,"As an individual client, I want to be able to create my personal profile, so that I can personalize the application to the organizations and events I'm interested in.",individual client, be able to create , personalize the application to ,NULL
6642,story 6642,"As an individual end user, I want to be able to create my personal profile, so that I can personalize the application to the organizations and events I'm interested in.",individual end user, be able to create , personalize the application to ,NULL
6643,story 6643,"As an individual user, I want to be able to create my personal profile, so that I can personalize the app to the organizations and events I'm interested in.",individual user, be able to create , personalize the app to ,NULL
6644,story 6644,"As an organization customer, I want to be able to create a profile for my organization, so that individuals can find and connect with my organization.",organization customer, be able to create , individuals can find and ,NULL
6645,story 6645,"As an organization client, I want to be able to create a profile for my organization, so that individuals can find and connect with my organization.",organization client, be able to create , individuals can find and ,NULL
6646,story 6646,"As an organization end user, I want to be able to create a profile for my organization, so that individuals can find and connect with my organization.",organization end user, be able to create , individuals can find and ,NULL
6647,story 6647,"As an individual customer, I want to be able to edit my profile, so that I can personalize the application to the organizations and events I'm interested in.",individual customer, be able to edit , personalize the application to ,NULL
6648,story 6648,"As an individual client, I want to be able to edit my profile, so that I can personalize the application to the organizations and events I'm interested in.",individual client, be able to edit , personalize the application to ,NULL
6649,story 6649,"As an individual end user, I want to be able to edit my profile, so that I can personalize the application to the organizations and events I'm interested in.",individual end user, be able to edit , personalize the application to ,NULL
6650,story 6650,"As an individual user, I want to be able to modify my profile, so that I can personalize the application to the organizations and events I'm interested in.",individual user, be able to modify , personalize the application to ,NULL
6651,story 6651,"As an individual user, I want to be able to update my profile, so that I can personalize the application to the organizations and events I'm interested in.",individual user, be able to update , personalize the application to ,NULL
6652,story 6652,"As an individual user, I want to be able to edit my profile, so that I can personalize the app to the organizations and events I'm interested in.",individual user, be able to edit , personalize the app to ,NULL
6653,story 6653,"As an organization customer, I want to be able to edit the profile for my organization, so that individuals can view correct information about my organization.",organization customer, be able to edit , individuals can view correct ,NULL
6654,story 6654,"As an organization client, I want to be able to edit the profile for my organization, so that individuals can view correct information about my organization.",organization client, be able to edit , individuals can view correct ,NULL
6655,story 6655,"As an organization end user, I want to be able to edit the profile for my organization, so that individuals can view correct information about my organization.",organization end user, be able to edit , individuals can view correct ,NULL
6656,story 6656,"As an organization user, I want to be able to modify the profile for my organization, so that individuals can view correct information about my organization.",organization user, be able to modify , individuals can view correct ,NULL
6657,story 6657,"As an organization user, I want to be able to update the profile for my organization, so that individuals can view correct information about my organization.",organization user, be able to update , individuals can view correct ,NULL
6658,story 6658,"As an individual customer, I want to be able to filter organizations by cause, so that I can find organizations with causes that I'm passionate about.",individual customer, be able to filter , find organizations with causes ,NULL
6659,story 6659,"As an individual client, I want to be able to filter organizations by cause, so that I can find organizations with causes that I'm passionate about.",individual client, be able to filter , find organizations with causes ,NULL
6660,story 6660,"As an individual end user, I want to be able to filter organizations by cause, so that I can find organizations with causes that I'm passionate about.",individual end user, be able to filter , find organizations with causes ,NULL
6661,story 6661,"As an individual customer, I want to be able to filter organizations by distance, so that I can find local organizations to support.",individual customer, be able to filter , find local organizations to ,NULL
6662,story 6662,"As an individual client, I want to be able to filter organizations by distance, so that I can find local organizations to support.",individual client, be able to filter , find local organizations to ,NULL
6663,story 6663,"As an individual end user, I want to be able to filter organizations by distance, so that I can find local organizations to support.",individual end user, be able to filter , find local organizations to ,NULL
6664,story 6664,"As an individual customer, I want to be able to filter events by skills, so that I can find organizations to support with my skills.",individual customer, be able to filter , find organizations to support ,NULL
6665,story 6665,"As an individual client, I want to be able to filter events by skills, so that I can find organizations to support with my skills.",individual client, be able to filter , find organizations to support ,NULL
6666,story 6666,"As an individual end user, I want to be able to filter events by skills, so that I can find organizations to support with my skills.",individual end user, be able to filter , find organizations to support ,NULL
6667,story 6667,"As an individual customer, I want to be able to filter events by distance, so that I can find local organizations to support.",individual customer, be able to filter , find local organizations to ,NULL
6668,story 6668,"As an individual client, I want to be able to filter events by distance, so that I can find local organizations to support.",individual client, be able to filter , find local organizations to ,NULL
6669,story 6669,"As an individual end user, I want to be able to filter events by distance, so that I can find local organizations to support.",individual end user, be able to filter , find local organizations to ,NULL
6670,story 6670,"As an organization customer, I want to be able to create event posts, so that individuals can view our events and connect with us.",organization customer, be able to create , individuals can view our ,NULL
6671,story 6671,"As an organization client, I want to be able to create event posts, so that individuals can view our events and connect with us.",organization client, be able to create , individuals can view our ,NULL
6672,story 6672,"As an organization end user, I want to be able to create event posts, so that individuals can view our events and connect with us.",organization end user, be able to create , individuals can view our ,NULL
6673,story 6673,"As an organization customer, I want to be able to edit event posts, so that people can receive updated information for our events.",organization customer, be able to edit , people can receive updated ,NULL
6674,story 6674,"As an organization client, I want to be able to edit event posts, so that people can receive updated information for our events.",organization client, be able to edit , people can receive updated ,NULL
6675,story 6675,"As an organization end user, I want to be able to edit event posts, so that people can receive updated information for our events.",organization end user, be able to edit , people can receive updated ,NULL
6676,story 6676,"As an organization user, I want to be able to modify event posts, so that people can receive updated information for our events.",organization user, be able to modify , people can receive updated ,NULL
6677,story 6677,"As an organization user, I want to be able to update event posts, so that people can receive updated information for our events.",organization user, be able to update , people can receive updated ,NULL
6678,story 6678,"As an organization customer, I want to be able to delete event posts, so that people see only correct and intended event information.",organization customer, be able to delete , people see only correct ,NULL
6679,story 6679,"As an organization client, I want to be able to delete event posts, so that people see only correct and intended event information.",organization client, be able to delete , people see only correct ,NULL
6680,story 6680,"As an organization end user, I want to be able to delete event posts, so that people see only correct and intended event information.",organization end user, be able to delete , people see only correct ,NULL
6681,story 6681,"As an individual customer, I want to be able to view my personalized news feed, so that I can discover events from organizations that I follow.",individual customer, be able to view , discover events from organizations ,NULL
6682,story 6682,"As an individual client, I want to be able to view my personalized news feed, so that I can discover events from organizations that I follow.",individual client, be able to view , discover events from organizations ,NULL
6683,story 6683,"As an individual end user, I want to be able to view my personalized news feed, so that I can discover events from organizations that I follow.",individual end user, be able to view , discover events from organizations ,NULL
6684,story 6684,"As an organization customer, I want to be able to manage my events on my news feed, so that I can edit or delete event posts.",organization customer, be able to manage , edit or delete event ,NULL
6685,story 6685,"As an organization client, I want to be able to manage my events on my news feed, so that I can edit or delete event posts.",organization client, be able to manage , edit or delete event ,NULL
6686,story 6686,"As an organization end user, I want to be able to manage my events on my news feed, so that I can edit or delete event posts.",organization end user, be able to manage , edit or delete event ,NULL
6687,story 6687,"As an organization user, I want to be able to manage my events on my news feed, so that I can modify or delete event posts.",organization user, be able to manage , modify or delete event ,NULL
6688,story 6688,"As an organization user, I want to be able to manage my events on my news feed, so that I can update or delete event posts.",organization user, be able to manage , update or delete event ,NULL
6689,story 6689,"As an individual customer, I want to be able to follow an organization, so that I can see their events on my news feed.",individual customer, be able to follow , see their events on ,NULL
6690,story 6690,"As an individual client, I want to be able to follow an organization, so that I can see their events on my news feed.",individual client, be able to follow , see their events on ,NULL
6691,story 6691,"As an individual end user, I want to be able to follow an organization, so that I can see their events on my news feed.",individual end user, be able to follow , see their events on ,NULL
6692,story 6692,"As an individual customer, I want to be able to unfollow an organization, so that I can remove their events from my news feed.",individual customer, be able to unfollow , remove their events from ,NULL
6693,story 6693,"As an individual client, I want to be able to unfollow an organization, so that I can remove their events from my news feed.",individual client, be able to unfollow , remove their events from ,NULL
6694,story 6694,"As an individual end user, I want to be able to unfollow an organization, so that I can remove their events from my news feed.",individual end user, be able to unfollow , remove their events from ,NULL
6695,story 6695,"As an individual customer, I want to be able to view an organization's information, so that I can learn about their mission and needs.",individual customer, be able to view , learn about their mission ,NULL
6696,story 6696,"As an individual client, I want to be able to view an organization's information, so that I can learn about their mission and needs.",individual client, be able to view , learn about their mission ,NULL
6697,story 6697,"As an individual end user, I want to be able to view an organization's information, so that I can learn about their mission and needs.",individual end user, be able to view , learn about their mission ,NULL
6698,story 6698,"As an individual customer, I want to be able to view an event's information, so that I can see if I can help out.",individual customer, be able to view , see if I can ,NULL
6699,story 6699,"As an individual client, I want to be able to view an event's information, so that I can see if I can help out.",individual client, be able to view , see if I can ,NULL
6700,story 6700,"As an individual end user, I want to be able to view an event's information, so that I can see if I can help out.",individual end user, be able to view , see if I can ,NULL
6701,story 6701,"As a customer, Have an account, so I can use SHOTS and have my information be secure.",customer,NULL, I can use SHOTS ,NULL
6702,story 6702,"As a client, Have an account, so I can use SHOTS and have my information be secure.",client,NULL, I can use SHOTS ,NULL
6703,story 6703,"As a end user, Have an account, so I can use SHOTS and have my information be secure.",end user,NULL, I can use SHOTS ,NULL
6704,story 6704,"As a customer, Be able to edit my account settings, so I can change them if necessary.",customer,NULL, I can change them ,NULL
6705,story 6705,"As a client, Be able to edit my account settings, so I can change them if necessary.",client,NULL, I can change them ,NULL
6706,story 6706,"As a end user, Be able to edit my account settings, so I can change them if necessary.",end user,NULL, I can change them ,NULL
6707,story 6707,"As a User, Be able to modify my account settings, so I can change them if necessary.",User,NULL, I can change them ,NULL
6708,story 6708,"As a User, Be able to update my account settings, so I can change them if necessary.",User,NULL, I can change them ,NULL
6709,story 6709,"As a customer, Be able to begin a journey, so I can capture my night out.",customer,NULL, I can capture my ,NULL
6710,story 6710,"As a client, Be able to begin a journey, so I can capture my night out.",client,NULL, I can capture my ,NULL
6711,story 6711,"As a end user, Be able to begin a journey, so I can capture my night out.",end user,NULL, I can capture my ,NULL
6712,story 6712,"As a customer, Track my live location and path on a map during a journey, so I can geotag the media for the night and have knowledge of where I am.",customer,NULL, I can geotag the ,NULL
6713,story 6713,"As a client, Track my live location and path on a map during a journey, so I can geotag the media for the night and have knowledge of where I am.",client,NULL, I can geotag the ,NULL
6714,story 6714,"As a end user, Track my live location and path on a map during a journey, so I can geotag the media for the night and have knowledge of where I am.",end user,NULL, I can geotag the ,NULL
6715,story 6715,"As a customer, Be able to easily record geotagged media in my journey, so I can review these moments later or share them with friends .",customer,NULL, I can review these ,easily
6716,story 6716,"As a client, Be able to easily record geotagged media in my journey, so I can review these moments later or share them with friends .",client,NULL, I can review these ,easily
6717,story 6717,"As a end user, Be able to easily record geotagged media in my journey, so I can review these moments later or share them with friends .",end user,NULL, I can review these ,easily
6718,story 6718,"As a customer, Be able to end my current journey and have the option to save it as memory, so I can group together chains of experiences and share them.",customer,NULL, I can group together ,NULL
6719,story 6719,"As a client, Be able to end my current journey and have the option to save it as memory, so I can group together chains of experiences and share them.",client,NULL, I can group together ,NULL
6720,story 6720,"As a end user, Be able to end my current journey and have the option to save it as memory, so I can group together chains of experiences and share them.",end user,NULL, I can group together ,NULL
6721,story 6721,"As a User, Be able to end my current journey and have the option to save it as memory, so I can collection together chains of experiences and share them.",User,NULL, I can collection together ,NULL
6722,story 6722,"As a User, Be able to end my current journey and have the option to save it as memory, so I can set together chains of experiences and share them.",User,NULL, I can set together ,NULL
6723,story 6723,"As a customer, Be able to review past memories, so I can review the moments from them.",customer,NULL, I can review the ,NULL
6724,story 6724,"As a client, Be able to review past memories, so I can review the moments from them.",client,NULL, I can review the ,NULL
6725,story 6725,"As a end user, Be able to review past memories, so I can review the moments from them.",end user,NULL, I can review the ,NULL
6726,story 6726,"As a customer, Be able to choose to hide or show certain moments in my memories, so I have control over the moments that my friends will be able to see.",customer,NULL, I have control over ,NULL
6727,story 6727,"As a client, Be able to choose to hide or show certain moments in my memories, so I have control over the moments that my friends will be able to see.",client,NULL, I have control over ,NULL
6728,story 6728,"As a end user, Be able to choose to hide or show certain moments in my memories, so I have control over the moments that my friends will be able to see.",end user,NULL, I have control over ,NULL
6729,story 6729,"As a customer, Be able to add friends in the app, so I can go on journeys with them later.",customer,NULL, I can go on ,NULL
6730,story 6730,"As a client, Be able to add friends in the app, so I can go on journeys with them later.",client,NULL, I can go on ,NULL
6731,story 6731,"As a end user, Be able to add friends in the app, so I can go on journeys with them later.",end user,NULL, I can go on ,NULL
6732,story 6732,"As a User, Be able to add friends in the application, so I can go on journeys with them later.",User,NULL, I can go on ,NULL
6733,story 6733,"As a customer, Be able to remove friends in the app, so I have control over who my friends are and who views my media.",customer,NULL, I have control over ,NULL
6734,story 6734,"As a client, Be able to remove friends in the app, so I have control over who my friends are and who views my media.",client,NULL, I have control over ,NULL
6735,story 6735,"As a end user, Be able to remove friends in the app, so I have control over who my friends are and who views my media.",end user,NULL, I have control over ,NULL
6736,story 6736,"As a User, Be able to remove friends in the application, so I have control over who my friends are and who views my media.",User,NULL, I have control over ,NULL
6737,story 6737,"As a customer, Be able to share my memories, so My friends can see what I’ve done.",customer,NULL, My friends can see ,NULL
6738,story 6738,"As a client, Be able to share my memories, so My friends can see what I’ve done.",client,NULL, My friends can see ,NULL
6739,story 6739,"As a end user, Be able to share my memories, so My friends can see what I’ve done.",end user,NULL, My friends can see ,NULL
6740,story 6740,"As a customer, Be able to view a friend’s profile, so I can view their current journey and their top memories.",customer,NULL, I can view their ,NULL
6741,story 6741,"As a client, Be able to view a friend’s profile, so I can view their current journey and their top memories.",client,NULL, I can view their ,NULL
6742,story 6742,"As a end user, Be able to view a friend’s profile, so I can view their current journey and their top memories.",end user,NULL, I can view their ,NULL
6743,story 6743,"As a customer, View the moments of my friends’ current journeys, so I live vicariously through them.",customer,NULL, I live vicariously through ,NULL
6744,story 6744,"As a client, View the moments of my friends’ current journeys, so I live vicariously through them.",client,NULL, I live vicariously through ,NULL
6745,story 6745,"As a end user, View the moments of my friends’ current journeys, so I live vicariously through them.",end user,NULL, I live vicariously through ,NULL
6746,story 6746,"As a customer, Be able to create a squad and invite my friends, so They can be a part of my journey.",customer,NULL, They can be a ,NULL
6747,story 6747,"As a client, Be able to create a squad and invite my friends, so They can be a part of my journey.",client,NULL, They can be a ,NULL
6748,story 6748,"As a end user, Be able to create a squad and invite my friends, so They can be a part of my journey.",end user,NULL, They can be a ,NULL
6749,story 6749,"As a customer, Be able to join my friends’ squad, so I can be a part of a combined journey.",customer,NULL, I can be a ,NULL
6750,story 6750,"As a client, Be able to join my friends’ squad, so I can be a part of a combined journey.",client,NULL, I can be a ,NULL
6751,story 6751,"As a end user, Be able to join my friends’ squad, so I can be a part of a combined journey.",end user,NULL, I can be a ,NULL
6752,story 6752,"As a customer, Be able to choose to accept or reject an invitation to a squad, so I have control over joining a squad.",customer,NULL, I have control over ,NULL
6753,story 6753,"As a client, Be able to choose to accept or reject an invitation to a squad, so I have control over joining a squad.",client,NULL, I have control over ,NULL
6754,story 6754,"As a end user, Be able to choose to accept or reject an invitation to a squad, so I have control over joining a squad.",end user,NULL, I have control over ,NULL
